"순번","쉼터명칭","사용여부","도로명주소","지번주소","시설유형","시설면적","이용가능인원","운영시작일","운영종료일","평일개방여부","평일 개방시간","평일 종료시간","토요일개방여부","토요일 개방시간","토요일 종료시간","일요일 개방여부","일요일 개방시간","일요일 종료시간","공휴일 개방여부","공휴일 개방시간","공휴일 종료시간","위도","경도","비고","X좌표","Y좌표"
"183","서울숲역3번출구 (뚝도아리수정수센터방면) 스마트쉼터","N","","서울특별시 성동구 성수동1가 694-71","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04438300","37.54311420","","203922.328983","549290.184016"
"184","서울숲역2번출구 (성동구민종합체육센터) 스마트쉼터","Y","","서울특별시 성동구 성수동1가 656-1976","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04465660","37.54288450","","203946.520378","549264.701554"
"185","성수1가1동주민센터","Y","서울특별시 성동구 뚝섬로3길 18","서울특별시 성동구 성수동1가 27-23","주민센터","1,973.00","12","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.04963100","37.54197770","","204386.185387","549164.278190"
"186","뚝섬역8번출구 스마트쉼터","N","서울특별시 성동구 아차산로 12-1 ","서울특별시 성동구 성수동1가 656-853","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04552830","37.54768860","","204023.298549","549797.935464"
"187","상원 (리버하우스방면) 스마트쉼터","N","서울특별시 성동구 광나루로 142-1 ","서울특별시 성동구 성수동1가 656-839","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04609690","37.55138660","","204073.344021","550208.393496"
"188","뚝섬역4번출구 스마트쉼터","N","서울특별시 성동구 아차산로 39-1 ","서울특별시 성동구 성수동1가 13-217","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04925120","37.54675070","","204352.342721","549694.005708"
"189","뚝섬역2번출구 스마트쉼터","N","서울특별시 성동구 아차산로 12-3 ","서울특별시 성동구 성수동1가 656-853","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04688820","37.54753970","","204143.480046","549781.468423"
"190","성동구민종합체육센터 (서울숲) 스마트쉼터","Y","서울특별시 성동구 왕십리로5길 10","서울특별시 성동구 성수동1가 656-551","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04456000","37.54658490","","203937.788725","549675.397086"
"191","성동교남단 (한양대정문앞) 스마트쉼터","Y","서울특별시 성동구 아차산로 2-1 ","서울특별시 성동구 성수동1가 656-853","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04447150","37.54957910","","203929.810742","550007.713506"
"192","뚝섬역3번5번출구 (성수역) 스마트쉼터","Y","","서울특별시 성동구 성수동1가 14-22","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04929680","37.54646580","","204356.388986","549662.387359"
"193","성수1가2동주민센터","Y","서울특별시 성동구 왕십리로5길 3","서울특별시 성동구 성수동1가 685-580","주민센터","673.00","11","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.04437200","37.54625050","","203921.192589","549638.274868"
"194","성수아트홀(책마루)","Y","서울특별시 성동구 뚝섬로1길 43","서울특별시 성동구 성수동1가 656-323","기타","35.79","10","2024-11-15","2025-03-15","Y","09:00:00","21:00:00","Y","09:00:00","21:00:00","Y","09:00:00","21:00:00","N","","","127.04696220","37.54539600","평일, 주말 운영시간 09:00 ~ 21:00 ※ 공휴일 미운영","204150.138221","549543.546879"
"195","성수2가1동주민센터","Y","서울특별시 성동구 뚝섬로 385-19 ","서울특별시 성동구 성수동2가 333-134","주민센터","287.00","11","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.05406500","37.53950710","","204778.201915","548890.287762"
"196","성수역4번출구 스마트쉼터","N","서울특별시 성동구 아차산로 96-1 ","서울특별시 성동구 성수동2가 276-5","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.05481680","37.54481340","","204844.301793","549479.261027"
"197","성동세무서 맞은편 스마트쉼터","N","서울특별시 성동구 광나루로 334-1 ","서울특별시 성동구 성수동2가 280-49","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.06202660","37.54802880","","205481.215013","549836.527508"
"198","성수사거리 스마트쉼터","N","서울특별시 성동구 아차산로 167","서울특별시 성동구 성수동2가 277-155","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.06239400","37.54283980","","205514.063893","549260.632727"
"199","화양사거리 (성수초등학교) 스마트쉼터","Y","서울특별시 성동구 광나루로8길 31","서울특별시 성동구 성수동2가 281-24","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.06666140","37.54731000","","205890.843250","549757.029675"
"200","성수2가3동주민센터","Y","서울특별시 성동구 광나루로2길 35","서울특별시 성동구 성수동2가 299-240","주민센터","896.00","12","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.05511200","37.54822830","","204870.167210","549858.288948"
"201","제인병원 스마트쉼터","N","서울특별시 성동구 광나루로 243","서울특별시 성동구 송정동 81-14","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.05687400","37.54933450","","205025.798325","549981.156574"
"202","군자교남단 스마트쉼터","N","","서울특별시 성동구 송정동 97-41","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.07242820","37.55751270","","206399.580849","550889.784384"
"203","송정동현대아이파크아파트 (송정동자치회관) 스마트쉼터","Y","","서울특별시 성동구 송정동 1-129","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.06867840","37.55218620","","206068.689455","550298.357626"
"204","송정동건영아파트 (송정동서울숲아이파크) 스마트쉼터","Y","서울특별시 성동구 동일로 265","서울특별시 성동구 송정동 90-7","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.07120240","37.55529070","","206291.458914","550643.086026"
"205","성동세무서 (제인병원) 스마트쉼터","Y","","서울특별시 성동구 송정동 66-30","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.06417500","37.54827340","","205671.047991","549863.802586"
"206","송정동주민센터","Y","서울특별시 성동구 동일로43길 13","서울특별시 성동구 송정동 72-31","주민센터","120.00","9","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06954600","37.55459080","","206145.156518","550565.295887"
"207","신답역 스마트쉼터","N","","서울특별시 성동구 용답동 128","기타","5.95","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.04769550","37.57016530","","204213.546367","552292.677921"
"208","용답동.로데오거리.답십리역 스마트쉼터","Y","","서울특별시 성동구 용답동 68-2","기타","16.50","5","2024-11-15","2025-03-15","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","Y","04:00:00","23:59:00","127.05375190","37.56571980","","204748.866987","551799.568112"
"209","용답동주민센터","Y","서울특별시 성동구 용답중앙23길 20","서울특별시 성동구 용답동 5-6","주민센터","239.00","12","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.05538400","37.56417570","","204893.160587","551628.274843"
"210","화양장수경로당","Y","서울특별시 광진구 군자로 34","서울특별시 광진구 화양동 132-68","노인시설","75.04","28","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07048920","37.54633390","","206229.185785","549648.941070"
"211","현대아파트 경로당","Y","서울특별시 광진구 동일로24길 5","서울특별시 광진구 화양동 234","노인시설","111.00","21","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06564130","37.54437320","","205800.924944","549431.016926"
"212","화양경로당","Y","서울특별시 광진구 능동로17길 39","서울특별시 광진구 화양동 122","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07131790","37.54653760","","206302.401514","549671.604540"
"213","모진경로당","Y","서울특별시 광진구 광나루로24길 53","서울특별시 광진구 화양동 431-5","노인시설","150.58","37","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07805550","37.54505170","","206897.943886","549507.160558"
"214","화양동주민센터","Y","서울특별시 광진구 능동로17길 39","서울특별시 광진구 화양동 122","주민센터","342.66","55","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07129300","37.54647800","","206300.206103","549664.987990"
"215","일성파크아파트 경로당","Y","서울특별시 광진구 군자로12길 46","서울특별시 광진구 군자동 99","노인시설","132.00","43","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07269550","37.55134550","","206423.728173","550205.316896"
"216","복조리경로당","Y","서울특별시 광진구 광나루로17길 28","서울특별시 광진구 군자동 369-7","노인시설","61.23","18","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07240330","37.54885970","","206398.120436","549929.402990"
"217","군자경로당","Y","서울특별시 광진구 동일로52길 27","서울특별시 광진구 군자동 115-1","노인시설","95.70","23","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07276800","37.55441800","","206429.870657","550546.332655"
"218","양마경로당","Y","서울특별시 광진구 동일로42길 2","서울특별시 광진구 군자동 340","노인시설","165.22","41","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07028600","37.55287600","","206210.685994","550375.022176"
"219","양마제2경로당","Y","서울특별시 광진구 군자로13길 35","서울특별시 광진구 군자동 342-10","노인시설","34.90","8","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07057210","37.55176940","","206236.058871","550252.221746"
"220","군자동주민센터","Y","서울특별시 광진구 면목로 13","서울특별시 광진구 군자동 48-15","주민센터","448.98","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07546510","37.55558600","","206668.085718","550676.154658"
"221","광진노인종합복지관","Y","서울특별시 광진구 군자로 88","서울특별시 광진구 군자동 364-15","복지회관","3,515.10","500","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07149700","37.55107500","","206317.845699","550175.213415"
"222","중곡1동경로당","Y","서울특별시 광진구 긴고랑로5길 10","서울특별시 광진구 중곡동 232-44","노인시설","91.98","30","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07914040","37.56455610","","206991.996485","551671.996939"
"223","중곡1동제2경로당","Y","서울특별시 광진구 긴고랑로8길 51","서울특별시 광진구 중곡동 256-47","노인시설","252.40","35","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07796880","37.56117280","","206888.797983","551296.403880"
"224","중곡1동주민센터","Y","서울특별시 광진구 긴고랑로12길 49","서울특별시 광진구 중곡동 259-10","주민센터","241.30","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08003800","37.56056600","","207071.675939","551229.209907"
"225","한마음경로당","Y","서울특별시 광진구 긴고랑로22길 39-4 ","서울특별시 광진구 중곡동 51-27","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08374400","37.55921700","","207399.249253","551079.772123"
"226","장수경로당","Y","서울특별시 광진구 긴고랑로31길 44","서울특별시 광진구 중곡동 150-110","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08688300","37.56171000","","207676.341683","551356.717468"
"227","중곡2동주민센터","Y","서울특별시 광진구 능동로 346","서울특별시 광진구 중곡동 47-33","주민센터","170.00","42","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08140640","37.56025230","","207192.609703","551194.496745"
"228","중곡종합사회복지관","Y","서울특별시 광진구 용마산로3길 62","서울특별시 광진구 중곡동 134-18","복지회관","372.00","93","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08481700","37.55665700","","207494.311189","550795.727444"
"229","용마경로당","Y","서울특별시 광진구 용마산로31길 38-8 ","서울특별시 광진구 중곡동 197-6","노인시설","145.66","36","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08406090","37.56926170","","207426.251975","552194.641074"
"230","중곡3동경로당","Y","서울특별시 광진구 동일로80길 20","서울특별시 광진구 중곡동 177-44","노인시설","583.60","45","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08089500","37.57005200","","207146.489057","552282.109708"
"231","중곡3동주민센터","Y","서울특별시 광진구 용마산로 117","서울특별시 광진구 중곡동 28-3","주민센터","1,362.30","60","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08654900","37.56401780","","207646.596023","551612.828934"
"232","중곡4동경로당","Y","서울특별시 광진구 긴고랑로39길 57","서울특별시 광진구 중곡동 71-2","노인시설","76.07","19","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09310200","37.55938800","","208226.062102","551099.528946"
"233","용곡경로당","Y","서울특별시 광진구 용마산로28길 31","서울특별시 광진구 중곡동 176-90","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08790800","37.56765600","","207766.285852","552016.738047"
"234","대원경로당","Y","서울특별시 광진구 긴고랑로36길 57-27 ","서울특별시 광진구 중곡동 85-28","노인시설","272.55","68","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09165300","37.55760200","","208098.228424","550901.178236"
"235","중곡4동주민센터","Y","서울특별시 광진구 긴고랑로 131","서울특별시 광진구 중곡동 62-24","주민센터","242.00","60","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08945080","37.55908370","","207903.491030","551065.441957"
"236","능동경로당","Y","서울특별시 광진구 천호대로112길 70","서울특별시 광진구 능동 152-1","노인시설","188.26","47","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08018920","37.55316770","","207085.735567","550408.097765"
"237","능동주민센터","Y","서울특별시 광진구 천호대로112길 55","서울특별시 광진구 능동 232-4","주민센터","288.79","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08044600","37.55379610","","207108.367431","550477.862057"
"238","광장제1경로당","Y","서울특별시 광진구 아차산로73길 15","서울특별시 광진구 광장동 242-1","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.10400500","37.54588300","","209191.059337","549601.645076"
"239","광장제2경로당","Y","서울특별시 광진구 아차산로78길 67","서울특별시 광진구 광장동 104","노인시설","236.79","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.11060200","37.55170900","","209773.284426","550248.926570"
"240","광장동주민센터","Y","서울특별시 광진구 광장로 52","서울특별시 광진구 광장동 248-24","주민센터","242.08","60","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.10293320","37.54691140","","209096.217966","549715.680856"
"241","광진구노인회관","Y","서울특별시 광진구 광장로 62","서울특별시 광진구 광장동 259-3","복지회관","168.00","42","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.10402400","37.54715400","","209192.582316","549742.712632"
"242","광장종합사회복지관","Y","서울특별시 광진구 아차산로66길 8","서울특별시 광진구 광장동 472-1","복지회관","484.00","121","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09712700","37.54102800","","208583.797848","549062.148703"
"243","광진구청 한파 응급대피소","Y","서울특별시 광진구 자양로 117","서울특별시 광진구 자양동 777","기타","12.00","3","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","Y","09:00:00","18:00:00","127.08268230","37.53812900","한파 특보(주의보, 경보) 시 24시간 운영","207307.500519","548739.174472"
"244","래미안 시니어클럽 경로당","Y","서울특별시 광진구 아차산로 345","서울특별시 광진구 자양동 859","노인시설","115.00","27","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08135100","37.53799140","","207189.852790","548723.799932"
"245","청아경로당","Y","서울특별시 광진구 아차산로 317","서울특별시 광진구 자양동 224-12","노인시설","133.00","33","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07829720","37.53804170","","206919.951324","548729.153514"
"246","중앙경로당","Y","서울특별시 광진구 뚝섬로57가길 48-3 ","서울특별시 광진구 자양동 633-12","노인시설","156.53","39","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08118930","37.53238600","","207176.098736","548101.656967"
"247","자마장경로당","Y","서울특별시 광진구 자양로13길 37","서울특별시 광진구 자양동 630-1","노인시설","184.00","46","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08241590","37.53451910","","207284.307085","548338.499122"
"248","자양1동주민센터","Y","서울특별시 광진구 자양로13길 37","서울특별시 광진구 자양동 630-1","주민센터","63.00","15","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08238400","37.53444500","","207281.494816","548330.272462"
"249","자양1동경로당","Y","서울특별시 광진구 아차산로40길 46","서울특별시 광진구 자양동 804-10","노인시설","47.83","11","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07784350","37.53566820","","206880.071111","548465.690781"
"250","현대강변아파트 경로당","Y","서울특별시 광진구 자양로3가길 43","서울특별시 광진구 자양동 673","노인시설","35.10","33","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08594740","37.52842850","","207597.055555","547662.797062"
"251","자양경남아파트 경로당","Y","서울특별시 광진구 뚝섬로52길 71","서울특별시 광진구 자양동 641","노인시설","112.00","43","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07896200","37.52893690","","206979.555173","547718.681877"
"252","자양2현대2차아파트 경로당","Y","서울특별시 광진구 뚝섬로56길 72","서울특별시 광진구 자양동 645-5","노인시설","24.60","23","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08240690","37.52805410","","207284.140318","547620.963228"
"253","로얄동아아파트경로당","Y","서울특별시 광진구 뚝섬로52마길 56","서울특별시 광진구 자양동 644","노인시설","128.00","29","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08139840","37.52822430","","207194.980260","547639.775694"
"254","경남아너스빌 경로당","Y","서울특별시 광진구 자양로3길 49","서울특별시 광진구 자양동 666-28","노인시설","54.87","25","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08395180","37.52951760","","207420.552720","547783.514358"
"255","구립자양노인복지관","Y","서울특별시 광진구 뚝섬로56길 20","서울특별시 광진구 자양동 651-36","복지회관","38.00","20","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08247570","37.53054210","","207289.979574","547897.105754"
"256","자양 구립제1경로당","Y","서울특별시 광진구 뚝섬로56길 28","서울특별시 광진구 자양동 651-50","노인시설","88.44","22","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08244600","37.53028300","","207287.379616","547868.346555"
"257","유수지경로당","Y","서울특별시 광진구 뚝섬로48길 46","서울특별시 광진구 자양동 593-4","노인시설","231.84","37","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07681710","37.52999590","","206789.868613","547836.060761"
"258","자양 구립제2경로당","Y","서울특별시 광진구 뚝섬로62길 17","서울특별시 광진구 자양동 684-20","노인시설","159.67","39","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08815500","37.53253500","휴관으로 미운영","207791.762406","548118.748425"
"259","자양2동주민센터","Y","서울특별시 광진구 자양로3가길 26","서울특별시 광진구 자양동 669-2","주민센터","49.86","12","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08445600","37.52878500","","207465.192295","547702.244728"
"260","신양경로당","Y","서울특별시 광진구 뚝섬로 543","서울특별시 광진구 자양동 514-9","노인시설","229.41","65","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07056700","37.53482100","","206237.019963","548371.154519"
"261","마실경로당","Y","서울특별시 광진구 자양번영로7길 16-9 ","서울특별시 광진구 자양동 227-291","노인시설","82.44","24","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07546910","37.53625830","","206670.161039","548531.013586"
"262","자양종합사회복지관","Y","서울특별시 광진구 자양번영로 35","서울특별시 광진구 자양동 581-2","복지회관","184.00","46","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07519600","37.53289400","","206646.322285","548157.598288"
"263","자양제3동경로당","Y","서울특별시 광진구 자양번영로3길 16","서울특별시 광진구 자양동 582-19","노인시설","86.70","21","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07430030","37.53189920","","206567.241580","548047.124831"
"264","자양3동주민센터","Y","서울특별시 광진구 뚝섬로 568","서울특별시 광진구 자양동 519-10","주민센터","232.00","58","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.07288680","37.53383260","","206442.139077","548261.610648"
"265","한화꿈에그린아파트 경로당","Y","서울특별시 광진구 뚝섬로24길 74","서울특별시 광진구 자양동 853","노인시설","146.34","20","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06194610","37.53338450","","205475.172066","548211.183878"
"266","한강우성아파트 경로당","Y","서울특별시 광진구 능동로1길 15","서울특별시 광진구 자양동 87-1","노인시설","91.50","27","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06600180","37.53272680","보일러 작동 ","205833.690701","548138.431123"
"267","자양4동 제1경로당","Y","서울특별시 광진구 동일로12길 24","서울특별시 광진구 자양동 251-62","노인시설","59.00","17","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06355310","37.53962090","","205616.740721","548903.442602"
"268","자양4동제4경로당","Y","서울특별시 광진구 뚝섬로30가길 18","서울특별시 광진구 자양동 51-47","노인시설","250.00","62","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06526800","37.53511300","","205768.648630","548403.224696"
"269","노유산경로당","Y","서울특별시 광진구 동일로10가길 15-2 ","서울특별시 광진구 자양동 835-1","노인시설","84.63","21","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06383710","37.53873940","","205641.906693","548805.623864"
"270","자양4동주민센터","Y","서울특별시 광진구 뚝섬로26길 58","서울특별시 광진구 자양동 63-1","주민센터","71.00","17","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06623100","37.53405700","","205853.844998","548286.081183"
"271","자양4동제2경로당","Y","서울특별시 광진구 동일로2길 17","서울특별시 광진구 자양동 203-16","노인시설","177.40","44","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.06131580","37.53511730","","205419.336935","548403.466854"
"272","구의1동경로당","Y","서울특별시 광진구 광나루로40길 6","서울특별시 광진구 구의동 230-4","노인시설","163.64","40","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08938480","37.54450340","","207899.198209","549447.197378"
"273","구의1동제2경로당","Y","서울특별시 광진구 광나루로30가길 27","서울특별시 광진구 구의동 634-15","노인시설","231.99","57","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08353620","37.54393110","","207382.396525","549383.203719"
"274","구의1동주민센터","Y","서울특별시 광진구 광나루로36길 56","서울특별시 광진구 구의동 237-6","주민센터","198.00","49","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08575550","37.54251840","","207578.667142","549226.587700"
"275","명성경로당","Y","서울특별시 광진구 자양로26길 20-5 ","서울특별시 광진구 구의동 251-155","노인시설","209.04","52","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08515350","37.54138090","","207525.579539","549100.290660"
"276","래미안파크스위트경로당","Y","서울특별시 광진구 광나루로 545","서울특별시 광진구 구의동 668","노인시설","229.00","35","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09068330","37.54609570","","208013.780054","549624.033337"
"277","구의2동주민센터","Y","서울특별시 광진구 천호대로136길 55","서울특별시 광진구 구의동 63-7","주민센터","202.95","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08989110","37.54724620","","207943.650394","549751.657747"
"278","구의2동경로당","Y","서울특별시 광진구 자양로38길 17-5 ","서울특별시 광진구 구의동 64-31","노인시설","70.15","17","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08905100","37.54722000","","207869.413740","549748.679213"
"279","소능경로당","Y","서울특별시 광진구 자양로37길 85","서울특별시 광진구 구의동 617-33","노인시설","255.03","63","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.08592300","37.54762800","","207592.951753","549793.705082"
"280","아차산경로당","Y","서울특별시 광진구 자양로47길 9-4 ","서울특별시 광진구 구의동 50-20","노인시설","127.83","31","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09161700","37.55214100","","208095.638286","550295.069081"
"281","구의3동주민센터","Y","서울특별시 광진구 강변역로 17","서울특별시 광진구 구의동 587-29","주민센터","338.22","50","2024-11-15","2025-03-15","Y","09:00:00","18:00:00","N","","","N","","","N","","","127.09198400","37.53799260","","208129.604118","548724.799220"
